"Basis matrix: (psi,chi,y,w | psib,chib,yb,wb)"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1

GGSO phase matrix:
1,-1,1,-1,-1,-1,-1
-1,1,1,1,1,-1,-1
1,1,-1,-1,-1,1,1
-1,-1,-1,1,1,1,-1
-1,-1,-1,-1,1,1,1
-1,-1,-1,1,1,1,1
-1,-1,-1,-1,1,-1,1

Internal symmetry group:
[SO(3) x SO(3) x SO(2) x O(1) x O(1) x O(1) x O(1)]_L  x  [SO(2) x SO(2) x SO(2) x O(1) x O(1) x O(1) x O(1) x O(1) x O(1)]_R
Internal fermion groups (same BC in all basis vectors):
Group,Left fermions,SO_L,Right fermions,SO_R
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0)",(none),-,wb3 wb6,SO(2)
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0)",(none),-,yb6 wb1,SO(2)
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0)",(none),-,yb1 yb3,SO(2)
"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0)",w4 w5 w6,SO(3),wb4,O(1)
"(1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0)",w3,O(1),yb4,O(1)
"(1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0)",y5 y6 w2,SO(3),wb2,O(1)
"(1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0)",w1,O(1),yb2,O(1)
"(1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0)",y2 y4,SO(2),(none),-
"(1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0)",y1,O(1),wb5,O(1)
"(1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0)",y3,O(1),yb5,O(1)
Complex-fermion pairings (LL / RR / LR):
LL,"(w4,w5)",-> w45
LL,"(y5,y6)",-> y56
LL,"(y2,y4)",-> y24
RR,"(wb3,wb6)",-> wb36
RR,"(yb6,wb1)",-> yb6wb1
RR,"(yb1,yb3)",-> yb13
LR,"(w6,wb4)",-> w6wb4
LR,"(w3,yb4)",-> w3yb4
LR,"(w2,wb2)",-> w2wb2
LR,"(w1,yb2)",-> w1yb2
LR,"(y1,wb5)",-> y1wb5
LR,"(y3,yb5)",-> y3yb5

Untwisted supersector:,,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[2 0 0 0 0 0 0],psi12 psib12,"(0, 0)",graviton,2
[2 0 0 0 0 0 0],psi12 psib12c,"(0, 0)",,0
[2 0 0 0 0 0 0],psi12c psib12,"(0, 0)",,0
[2 0 0 0 0 0 0],psi12c psib12c,"(0, 0)",,
[0 1 0 0 0 0 0],psib12 | + + + ->_L,"(8, 0)",gravitino_L,3/2
[0 1 0 0 0 0 0],psib12c | + + + ->_L,"(8, 0)",,1/2
[0 1 0 0 0 0 0],psib12 | - - - +>_L,"(8, 0)",,
[0 1 0 0 0 0 0],psib12c | - - - +>_L,"(8, 0)",,
[0 0 1 0 0 0 0],psi12 | + - - +>_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0 0 0],psi12c | + - - +>_R,"(0, 8)",,1/2
[0 0 1 0 0 0 0],psi12 | - + + ->_R,"(0, 8)",,
[0 0 1 0 0 0 0],psi12c | - + + ->_R,"(0, 8)",,
[0 1 1 0 0 0 0],| + + + ->_L x | + - - +>_R,"(8, 8)",V_RR,1
[0 1 1 0 0 0 0],| + + + ->_L x | - + + ->_R,"(8, 8)",H_RR,0
[0 1 1 0 0 0 0],| - - - +>_L x | + - - +>_R,"(8, 8)",,0
[0 1 1 0 0 0 0],| - - - +>_L x | - + + ->_R,"(8, 8)",,
"Supersector for base: [1, *, *, 0, 1, 0, 1]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[1 0 0 0 1 0 1],| + - +>_L x | + +> x | - - ->_R,"(8, 8)",H_T,0
[1 0 0 0 1 0 1],| + - ->_L x | + +> x | - - ->_R,"(8, 8)",H_T,0
[1 0 0 0 1 0 1],| - + +>_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 0 0 0 1 0 1],| - + ->_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 0 1 0 1 0 1],| + - +>_L x | + +> x | + - ->_R,"(8, 8)",,1/2
[1 0 1 0 1 0 1],| + - ->_L x | + +> x | + - ->_R,"(8, 8)",,1/2
[1 0 1 0 1 0 1],| - + +>_L x | + +> x | - + +>_R,"(8, 8)",,
[1 0 1 0 1 0 1],| - + ->_L x | + +> x | - + +>_R,"(8, 8)",,
[1 1 0 0 1 0 1],| + - +>_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 0 1 0 1],| + - ->_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 0 1 0 1],| - + +>_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 0 0 1 0 1],| - + ->_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 1 0 1 0 1],| + - +>_L x | + +> x | + - ->_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| + - ->_L x | + +> x | + - ->_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| - + +>_L x | + +> x | - + +>_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| - + ->_L x | + +> x | - + +>_R,"(8, 8)",,0
"Supersector for base: [1, *, *, 1, 0, 1, 0]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[1 0 0 1 0 1 0],| + - +>_L x | + +> x | - - ->_R,"(8, 8)",H_T,0
[1 0 0 1 0 1 0],| + - ->_L x | + +> x | - - ->_R,"(8, 8)",H_T,0
[1 0 0 1 0 1 0],| - + +>_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 0 0 1 0 1 0],| - + ->_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 0 1 1 0 1 0],| + - +>_L x | + +> x | + - ->_R,"(8, 8)",,1/2
[1 0 1 1 0 1 0],| + - ->_L x | + +> x | + - ->_R,"(8, 8)",,1/2
[1 0 1 1 0 1 0],| - + +>_L x | + +> x | - + +>_R,"(8, 8)",,
[1 0 1 1 0 1 0],| - + ->_L x | + +> x | - + +>_R,"(8, 8)",,
[1 1 0 1 0 1 0],| + - +>_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 1 0 1 0],| + - ->_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 1 0 1 0],| - + +>_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 0 1 0 1 0],| - + ->_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 1 1 0 1 0],| + - +>_L x | + +> x | + - ->_R,"(8, 8)",,0
[1 1 1 1 0 1 0],| + - ->_L x | + +> x | + - ->_R,"(8, 8)",,0
[1 1 1 1 0 1 0],| - + +>_L x | + +> x | - + +>_R,"(8, 8)",,0
[1 1 1 1 0 1 0],| - + ->_L x | + +> x | - + +>_R,"(8, 8)",,0
"Supersector for base: [1, *, *, 1, 1, 0, 1]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[1 0 0 1 1 0 1],| + + +>_L x | + +> x | - - +>_R,"(8, 8)",H_T,0
[1 0 0 1 1 0 1],| + + ->_L x | + +> x | + + +>_R,"(8, 8)",V_T,1
[1 0 0 1 1 0 1],| - - +>_L x | + +> x | - - ->_R,"(8, 8)",,
[1 0 0 1 1 0 1],| - - ->_L x | + +> x | + + ->_R,"(8, 8)",,0
[1 0 1 1 1 0 1],| + + +>_L x | + +> x | + - +>_R,"(8, 8)",,1/2
